status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
1.0,18,4.0,2.0,1049,1.0,2.0,4.0,2.0,1.0,4.0,2.0,21,3.0,1.0,1,3.0,2,1.0,2.0,1
1.0,9,4.0,0.0,2799,1.0,3.0,2.0,3.0,1.0,2.0,1.0,36,3.0,1.0,2,3.0,1,1.0,2.0,1
2.0,12,2.0,9.0,841,2.0,4.0,2.0,2.0,1.0,4.0,1.0,23,3.0,1.0,1,2.0,2,1.0,2.0,1
1.0,12,4.0,0.0,2122,1.0,3.0,3.0,3.0,1.0,2.0,1.0,39,3.0,1.0,2,2.0,1,1.0,1.0,1
1.0,12,4.0,0.0,2171,1.0,3.0,4.0,3.0,1.0,4.0,2.0,38,1.0,2.0,2,2.0,0,1.0,1.0,1
1.0,10,4.0,0.0,2241,1.0,2.0,1.0,3.0,1.0,3.0,1.0,48,3.0,1.0,2,2.0,1,1.0,1.0,1
1.0,8,4.0,0.0,3398,1.0,4.0,1.0,3.0,1.0,4.0,1.0,39,3.0,2.0,2,2.0,2,1.0,1.0,1
1.0,6,4.0,0.0,1361,1.0,2.0,2.0,3.0,1.0,4.0,4.0,40,3.0,2.0,0,2.0,1,1.0,1.0,1
4.0,18,4.0,3.0,1098,1.0,1.0,4.0,2.0,1.0,4.0,3.0,65,3.0,2.0,2,1.0,2,1.0,2.0,1
2.0,24,2.0,3.0,3758,3.0,1.0,1.0,2.0,1.0,4.0,4.0,23,3.0,1.0,1,1.0,2,1.0,2.0,1
1.0,11,4.0,0.0,3905,1.0,3.0,2.0,3.0,1.0,2.0,1.0,36,3.0,1.0,2,3.0,1,1.0,2.0,1
1.0,30,4.0,1.0,6187,2.0,4.0,1.0,4.0,1.0,4.0,3.0,24,3.0,1.0,2,3.0,2,1.0,2.0,1
1.0,6,4.0,3.0,1957,1.0,4.0,1.0,2.0,1.0,4.0,3.0,31,3.0,2.0,1,3.0,2,1.0,2.0,1
2.0,48,3.0,10.0,7582,2.0,1.0,2.0,3.0,1.0,4.0,4.0,31,3.0,2.0,1,4.0,2,2.0,2.0,1
1.0,18,2.0,3.0,1936,5.0,4.0,2.0,4.0,1.0,4.0,3.0,23,3.0,1.0,2,2.0,2,1.0,2.0,1
1.0,6,2.0,3.0,2647,3.0,3.0,2.0,3.0,1.0,3.0,1.0,44,3.0,1.0,1,3.0,1,1.0,2.0,1
1.0,11,4.0,0.0,3939,1.0,3.0,1.0,3.0,1.0,2.0,1.0,40,3.0,2.0,2,3.0,1,1.0,2.0,1
2.0,18,2.0,3.0,3213,3.0,2.0,1.0,4.0,1.0,3.0,1.0,25,3.0,1.0,1,3.0,2,1.0,2.0,1
2.0,36,4.0,3.0,2337,1.0,5.0,4.0,3.0,1.0,4.0,1.0,36,3.0,2.0,1,4.0,2,1.0,2.0,1
4.0,11,4.0,0.0,7228,1.0,3.0,1.0,3.0,1.0,4.0,2.0,39,3.0,2.0,2,2.0,2,1.0,2.0,1
1.0,6,4.0,0.0,3676,1.0,3.0,1.0,3.0,1.0,3.0,1.0,37,3.0,1.0,3,3.0,1,1.0,2.0,1
2.0,12,4.0,0.0,3124,1.0,2.0,1.0,3.0,1.0,3.0,1.0,49,1.0,2.0,2,2.0,1,1.0,2.0,1
2.0,36,2.0,5.0,2384,1.0,2.0,4.0,3.0,1.0,1.0,4.0,33,3.0,1.0,1,2.0,2,1.0,2.0,0
2.0,12,4.0,4.0,1424,1.0,4.0,4.0,3.0,1.0,3.0,2.0,26,3.0,2.0,1,3.0,2,1.0,2.0,1
1.0,6,4.0,0.0,4716,5.0,2.0,1.0,3.0,1.0,3.0,1.0,44,3.0,2.0,2,2.0,1,1.0,2.0,1
2.0,11,3.0,3.0,4771,1.0,4.0,2.0,3.0,1.0,4.0,2.0,51,3.0,2.0,1,3.0,2,1.0,2.0,1
1.0,12,2.0,2.0,652,1.0,5.0,4.0,2.0,1.0,4.0,2.0,24,3.0,1.0,1,3.0,2,1.0,2.0,1
2.0,9,4.0,3.0,1154,1.0,5.0,2.0,3.0,1.0,4.0,1.0,37,3.0,2.0,3,2.0,2,1.0,2.0,1
4.0,15,2.0,0.0,3556,5.0,3.0,3.0,3.0,1.0,2.0,4.0,29,3.0,2.0,1,3.0,2,1.0,2.0,1
3.0,42,4.0,1.0,4796,1.0,5.0,4.0,3.0,1.0,4.0,4.0,56,3.0,3.0,1,3.0,2,1.0,2.0,1
3.0,30,4.0,3.0,3017,1.0,5.0,4.0,3.0,1.0,4.0,2.0,47,3.0,2.0,1,3.0,2,1.0,2.0,1
4.0,36,4.0,0.0,3535,1.0,4.0,4.0,3.0,1.0,4.0,3.0,37,3.0,2.0,2,3.0,2,2.0,2.0,1
4.0,36,4.0,0.0,6614,1.0,5.0,4.0,3.0,1.0,4.0,3.0,34,3.0,2.0,2,4.0,2,2.0,2.0,1
4.0,24,2.0,3.0,1376,3.0,4.0,4.0,2.0,1.0,1.0,3.0,28,3.0,2.0,1,3.0,2,1.0,2.0,1
1.0,15,2.0,0.0,1721,1.0,2.0,2.0,3.0,1.0,3.0,1.0,36,3.0,2.0,1,3.0,2,1.0,2.0,1
1.0,6,4.0,0.0,860,1.0,5.0,1.0,2.0,1.0,4.0,4.0,39,3.0,2.0,2,3.0,0,2.0,2.0,1
4.0,12,4.0,0.0,1495,1.0,5.0,4.0,3.0,1.0,1.0,1.0,38,3.0,2.0,2,2.0,1,1.0,2.0,1
4.0,12,4.0,3.0,1934,1.0,5.0,2.0,3.0,1.0,2.0,4.0,26,3.0,2.0,2,3.0,2,1.0,2.0,1
4.0,18,2.0,1.0,3378,5.0,3.0,2.0,3.0,1.0,1.0,3.0,31,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,24,4.0,1.0,3868,1.0,5.0,4.0,2.0,1.0,2.0,3.0,41,3.0,1.0,2,4.0,2,2.0,2.0,1
4.0,12,4.0,5.0,996,5.0,4.0,4.0,2.0,1.0,4.0,1.0,23,3.0,2.0,2,3.0,2,1.0,2.0,1
1.0,24,2.0,10.0,1755,1.0,5.0,4.0,2.0,3.0,4.0,1.0,58,3.0,2.0,1,2.0,2,2.0,2.0,1
4.0,18,4.0,0.0,1028,1.0,3.0,4.0,3.0,1.0,3.0,1.0,36,3.0,2.0,2,3.0,2,1.0,2.0,1
2.0,24,4.0,9.0,2825,5.0,4.0,4.0,3.0,1.0,3.0,4.0,34,3.0,2.0,2,3.0,1,2.0,2.0,1
2.0,18,2.0,6.0,1239,5.0,3.0,4.0,3.0,1.0,4.0,4.0,33,3.0,3.0,1,3.0,2,1.0,2.0,1
1.0,18,2.0,0.0,1216,1.0,2.0,4.0,2.0,1.0,3.0,3.0,23,3.0,1.0,1,3.0,2,2.0,2.0,0
4.0,24,2.0,9.0,1258,1.0,4.0,4.0,3.0,1.0,1.0,1.0,25,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,18,4.0,6.0,1864,2.0,3.0,4.0,2.0,1.0,2.0,1.0,30,3.0,2.0,2,3.0,2,1.0,2.0,0
4.0,24,2.0,0.0,1474,2.0,2.0,4.0,4.0,1.0,3.0,1.0,33,3.0,2.0,1,3.0,2,2.0,2.0,1
1.0,24,4.0,9.0,1382,2.0,4.0,4.0,3.0,1.0,1.0,1.0,26,3.0,2.0,2,3.0,2,2.0,2.0,1
4.0,12,2.0,0.0,640,1.0,3.0,4.0,1.0,1.0,2.0,1.0,49,3.0,3.0,1,2.0,2,1.0,2.0,1
3.0,36,2.0,3.0,3919,1.0,3.0,2.0,3.0,1.0,2.0,1.0,23,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,9,4.0,0.0,1224,1.0,3.0,3.0,3.0,1.0,1.0,1.0,30,3.0,2.0,2,3.0,2,1.0,2.0,1
4.0,12,4.0,3.0,2331,5.0,5.0,1.0,3.0,3.0,4.0,1.0,49,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,24,2.0,1.0,6313,5.0,5.0,3.0,3.0,1.0,4.0,3.0,41,3.0,2.0,685,4.0,1,2.0,2.0,1
1.0,12,4.0,3.0,409,1.0,4.0,4.0,2.0,1.0,3.0,1.0,58,3.0,2.0,4,2.0,2,2.0,2.0,1
4.0,12,4.0,3.0,1655,1.0,5.0,2.0,3.0,3.0,4.0,1.0,63,3.0,2.0,2,2.0,2,2.0,2.0,1
1.0,15,2.0,3.0,1053,1.0,2.0,4.0,4.0,1.0,2.0,1.0,27,3.0,2.0,1,3.0,2,1.0,1.0,1
4.0,21,2.0,3.0,3160,5.0,5.0,4.0,3.0,1.0,3.0,2.0,41,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,36,2.0,0.0,3079,5.0,3.0,4.0,3.0,1.0,4.0,1.0,36,3.0,2.0,1,3.0,2,1.0,2.0,1
4.0,12,4.0,0.0,1163,3.0,3.0,4.0,3.0,1.0,4.0,1.0,44,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,24,2.0,1.0,2679,1.0,2.0,4.0,2.0,1.0,1.0,4.0,29,3.0,2.0,0,4.0,2,2.0,2.0,1
4.0,48,4.0,3.0,3578,5.0,5.0,4.0,3.0,3.0,1.0,1.0,47,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,36,3.0,0.0,10875,1.0,5.0,2.0,3.0,1.0,2.0,3.0,45,3.0,2.0,2,3.0,1,2.0,2.0,1
1.0,12,3.0,0.0,1344,1.0,3.0,4.0,3.0,1.0,2.0,1.0,43,3.0,2.0,2,2.0,1,1.0,2.0,1
4.0,6,4.0,3.0,1237,2.0,3.0,1.0,2.0,1.0,1.0,2.0,27,3.0,2.0,2,3.0,2,1.0,2.0,1
4.0,12,2.0,3.0,3077,1.0,3.0,2.0,3.0,1.0,4.0,3.0,52,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,24,2.0,3.0,2284,1.0,4.0,4.0,4.0,1.0,2.0,3.0,28,3.0,2.0,1,3.0,2,2.0,2.0,1
2.0,12,2.0,3.0,1567,1.0,3.0,1.0,2.0,1.0,1.0,3.0,22,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,24,3.0,3.0,2032,1.0,5.0,4.0,3.0,1.0,4.0,4.0,60,3.0,3.0,2,3.0,2,2.0,2.0,1
2.0,21,4.0,2.0,2745,4.0,4.0,3.0,3.0,1.0,2.0,3.0,32,3.0,2.0,2,3.0,2,2.0,2.0,1
4.0,30,2.0,3.0,1867,5.0,5.0,4.0,3.0,1.0,4.0,3.0,58,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,36,2.0,3.0,2299,3.0,5.0,4.0,3.0,1.0,4.0,3.0,39,3.0,2.0,1,3.0,2,1.0,2.0,1
4.0,24,4.0,2.0,929,5.0,4.0,4.0,3.0,1.0,2.0,3.0,31,2.0,2.0,1,3.0,2,2.0,2.0,1
3.0,12,2.0,3.0,3399,5.0,5.0,2.0,3.0,1.0,3.0,3.0,37,3.0,2.0,1,4.0,2,1.0,2.0,1
2.0,9,2.0,2.0,2030,5.0,4.0,2.0,3.0,1.0,1.0,3.0,24,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,21,4.0,1.0,3275,1.0,5.0,1.0,3.0,1.0,4.0,3.0,36,3.0,2.0,1,4.0,2,2.0,2.0,1
4.0,24,4.0,0.0,1940,4.0,5.0,4.0,3.0,1.0,4.0,1.0,60,3.0,2.0,1,3.0,2,2.0,2.0,1
1.0,21,4.0,0.0,1602,1.0,5.0,4.0,4.0,1.0,3.0,3.0,30,3.0,2.0,2,3.0,2,2.0,2.0,1
4.0,15,2.0,3.0,1979,5.0,5.0,4.0,3.0,1.0,2.0,3.0,35,3.0,2.0,1,3.0,2,1.0,2.0,1
4.0,18,4.0,0.0,2022,1.0,3.0,4.0,2.0,1.0,4.0,3.0,37,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,36,4.0,3.0,3342,5.0,5.0,4.0,3.0,1.0,2.0,3.0,51,3.0,2.0,1,3.0,2,2.0,2.0,1
2.0,18,2.0,0.0,5866,2.0,3.0,2.0,3.0,1.0,2.0,3.0,30,3.0,2.0,2,3.0,2,2.0,2.0,1
3.0,15,4.0,1.0,2360,3.0,3.0,2.0,3.0,1.0,2.0,3.0,36,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,15,4.0,2.0,1520,5.0,5.0,4.0,3.0,1.0,4.0,2.0,63,3.0,2.0,1,3.0,2,1.0,2.0,1
1.0,12,2.0,0.0,3651,4.0,3.0,1.0,3.0,1.0,3.0,2.0,31,3.0,2.0,1,3.0,1,1.0,2.0,1
4.0,24,2.0,1.0,2346,1.0,4.0,4.0,3.0,1.0,3.0,3.0,35,3.0,3.0,2,3.0,2,2.0,2.0,1
4.0,36,3.0,3.0,4454,1.0,3.0,4.0,2.0,1.0,4.0,1.0,34,3.0,2.0,2,3.0,2,1.0,2.0,1
1.0,6,4.0,0.0,666,4.0,4.0,3.0,2.0,1.0,4.0,1.0,39,3.0,2.0,2,2.0,2,2.0,2.0,1
4.0,24,3.0,0.0,1965,5.0,3.0,4.0,2.0,1.0,4.0,3.0,42,3.0,1.0,2,3.0,2,2.0,2.0,1
2.0,12,4.0,0.0,1995,2.0,2.0,4.0,3.0,1.0,1.0,3.0,27,3.0,2.0,1,3.0,0,1.0,2.0,1
2.0,30,2.0,3.0,2991,5.0,5.0,2.0,2.0,1.0,4.0,3.0,25,3.0,2.0,1,3.0,2,1.0,2.0,1
1.0,9,2.0,3.0,1364,1.0,4.0,3.0,3.0,1.0,4.0,1.0,59,3.0,2.0,1,3.0,2,1.0,2.0,1
2.0,18,4.0,2.0,6361,1.0,5.0,2.0,3.0,1.0,1.0,4.0,41,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,27,4.0,2.0,4526,4.0,2.0,4.0,3.0,3.0,2.0,1.0,32,2.0,2.0,2,2.0,1,2.0,2.0,1
2.0,12,4.0,3.0,4104,1.0,3.0,1.0,2.0,1.0,1.0,1.0,23,3.0,2.0,1,2.0,2,1.0,2.0,1
2.0,36,3.0,9.0,4455,1.0,3.0,2.0,1.0,1.0,2.0,1.0,30,2.0,2.0,2,4.0,2,2.0,2.0,0
1.0,9,2.0,2.0,2136,1.0,3.0,3.0,3.0,1.0,2.0,1.0,25,3.0,2.0,0,3.0,2,1.0,2.0,1
2.0,42,4.0,9.0,5954,1.0,4.0,4.0,2.0,1.0,1.0,1.0,41,1.0,2.0,2,2.0,2,1.0,2.0,1
4.0,24,4.0,2.0,3777,4.0,3.0,4.0,3.0,1.0,4.0,1.0,40,3.0,2.0,1,3.0,2,2.0,2.0,1
1.0,15,2.0,9.0,806,1.0,5.0,4.0,2.0,1.0,4.0,2.0,22,3.0,2.0,1,2.0,2,1.0,2.0,1
2.0,24,3.0,9.0,4712,5.0,3.0,4.0,3.0,1.0,2.0,2.0,34,1.0,2.0,2,4.0,2,2.0,2.0,1
2.0,36,3.0,0.0,7432,1.0,3.0,2.0,2.0,1.0,2.0,2.0,54,3.0,1.0,1,3.0,762,1.0,2.0,1
4.0,24,4.0,3.0,1851,1.0,4.0,4.0,4.0,3.0,2.0,3.0,33,3.0,2.0,2,3.0,2,2.0,2.0,1
4.0,24,2.0,0.0,1393,1.0,3.0,2.0,3.0,3.0,2.0,1.0,31,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,12,4.0,9.0,1412,1.0,3.0,4.0,2.0,3.0,2.0,1.0,29,3.0,2.0,2,4.0,2,2.0,2.0,1
4.0,18,2.0,3.0,1473,1.0,2.0,3.0,4.0,1.0,4.0,1.0,39,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,12,4.0,6.0,2012,5.0,4.0,4.0,2.0,1.0,2.0,3.0,61,3.0,2.0,1,3.0,2,1.0,2.0,1
1.0,15,2.0,0.0,3959,1.0,3.0,3.0,2.0,1.0,2.0,2.0,29,3.0,2.0,1,3.0,2,2.0,2.0,0
1.0,6,2.0,2.0,428,1.0,5.0,2.0,2.0,1.0,1.0,2.0,49,1.0,2.0,1,3.0,2,2.0,2.0,1
2.0,12,2.0,0.0,2366,3.0,4.0,3.0,1.0,1.0,3.0,3.0,36,3.0,2.0,1,4.0,2,2.0,2.0,1
4.0,12,2.0,2.0,763,1.0,3.0,4.0,2.0,1.0,1.0,1.0,26,3.0,2.0,1,3.0,2,2.0,2.0,1
2.0,21,2.0,2.0,3976,5.0,4.0,2.0,3.0,1.0,3.0,3.0,35,3.0,2.0,1,3.0,2,2.0,2.0,1
2.0,18,2.0,0.0,6260,1.0,4.0,3.0,3.0,1.0,4.0,1.0,28,3.0,1.0,1,2.0,2,1.0,2.0,1
2.0,9,4.0,2.0,1919,1.0,4.0,4.0,3.0,1.0,3.0,3.0,35,3.0,1.0,1,3.0,0,2.0,2.0,1
4.0,24,2.0,10.0,2603,4.0,3.0,2.0,2.0,1.0,4.0,3.0,28,3.0,1.0,1,3.0,2,2.0,2.0,1
4.0,9,4.0,6.0,936,3.0,5.0,4.0,3.0,1.0,2.0,3.0,52,3.0,2.0,2,3.0,2,2.0,2.0,1
4.0,24,2.0,2.0,3062,3.0,5.0,4.0,3.0,1.0,3.0,4.0,32,3.0,1.0,1,3.0,2,2.0,2.0,1
2.0,36,2.0,3.0,2325,1.0,2.0,4.0,2.0,1.0,1.0,4.0,30,3.0,2.0,1,4.0,2,2.0,2.0,1
4.0,36,4.0,1.0,5842,1.0,5.0,2.0,3.0,1.0,2.0,2.0,35,3.0,3.0,2,3.0,1,2.0,2.0,1
2.0,6,2.0,3.0,2063,1.0,2.0,4.0,4.0,1.0,3.0,3.0,30,3.0,1.0,1,4.0,2,2.0,2.0,1
4.0,15,4.0,3.0,1459,1.0,3.0,4.0,2.0,1.0,2.0,3.0,43,3.0,2.0,1,3.0,2,1.0,2.0,1
4.0,15,2.0,3.0,1213,3.0,5.0,4.0,3.0,1.0,3.0,2.0,47,2.0,2.0,1,3.0,2,2.0,2.0,1
4.0,24,4.0,3.0,5103,1.0,2.0,3.0,4.0,1.0,3.0,4.0,47,3.0,3.0,3,3.0,2,2.0,2.0,1
4.0,15,2.0,4.0,874,5.0,2.0,4.0,2.0,1.0,1.0,1.0,24,3.0,2.0,1,3.0,2,1.0,2.0,1
4.0,6,2.0,2.0,2978,3.0,3.0,1.0,3.0,1.0,2.0,3.0,32,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,18,2.0,0.0,1820,1.0,3.0,4.0,4.0,1.0,2.0,2.0,30,3.0,2.0,1,4.0,2,2.0,2.0,1
4.0,24,4.0,3.0,2872,2.0,5.0,3.0,3.0,1.0,4.0,1.0,36,3.0,2.0,1,3.0,1,2.0,2.0,1
3.0,24,2.0,2.0,1925,1.0,3.0,2.0,3.0,1.0,2.0,1.0,26,3.0,2.0,1,3.0,2,1.0,2.0,1
4.0,18,2.0,2.0,2515,1.0,3.0,3.0,3.0,1.0,4.0,1.0,43,3.0,2.0,1,3.0,2,2.0,2.0,1
3.0,6,2.0,2.0,2116,1.0,3.0,2.0,3.0,1.0,2.0,1.0,33,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,18,2.0,3.0,1453,1.0,2.0,3.0,2.0,1.0,1.0,1.0,26,3.0,2.0,1,3.0,2,1.0,2.0,1
4.0,10,2.0,10.0,1364,1.0,3.0,2.0,2.0,1.0,4.0,3.0,64,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,6,2.0,2.0,1543,4.0,3.0,4.0,1.0,1.0,2.0,1.0,33,3.0,2.0,1,3.0,2,1.0,2.0,1
2.0,12,2.0,0.0,1318,4.0,5.0,4.0,3.0,1.0,4.0,1.0,54,3.0,2.0,1,3.0,2,2.0,2.0,1
1.0,24,4.0,0.0,2325,2.0,4.0,2.0,3.0,1.0,3.0,3.0,32,1.0,2.0,1,3.0,2,1.0,2.0,1
2.0,6,4.0,8.0,932,5.0,4.0,1.0,2.0,1.0,3.0,2.0,39,3.0,2.0,2,2.0,2,1.0,2.0,1
3.0,24,4.0,3.0,3148,5.0,3.0,3.0,3.0,1.0,2.0,3.0,31,3.0,2.0,2,3.0,2,2.0,2.0,1
4.0,36,2.0,3.0,3835,5.0,5.0,2.0,2.0,1.0,4.0,1.0,45,3.0,2.0,1,2.0,2,2.0,2.0,1
4.0,9,2.0,6.0,3832,5.0,5.0,1.0,3.0,1.0,4.0,1.0,64,3.0,2.0,1,2.0,2,1.0,2.0,1
2.0,24,2.0,10.0,5084,1.0,5.0,4.0,2.0,1.0,4.0,3.0,42,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,9,4.0,2.0,2406,1.0,1.0,2.0,3.0,1.0,3.0,3.0,33,3.0,2.0,1,4.0,2,1.0,2.0,1
4.0,36,2.0,3.0,2394,5.0,3.0,4.0,2.0,1.0,4.0,3.0,25,3.0,2.0,1,3.0,2,1.0,2.0,1
4.0,21,2.0,1.0,2476,5.0,5.0,4.0,3.0,1.0,4.0,1.0,46,3.0,2.0,1,4.0,2,2.0,2.0,1
1.0,24,2.0,1.0,2964,5.0,5.0,4.0,3.0,1.0,4.0,4.0,49,1.0,3.0,1,4.0,1,2.0,2.0,1
1.0,12,2.0,2.0,1262,5.0,5.0,2.0,1.0,1.0,4.0,2.0,49,3.0,2.0,1,2.0,2,2.0,2.0,1
4.0,12,2.0,9.0,1542,1.0,4.0,2.0,3.0,1.0,4.0,3.0,36,3.0,2.0,1,3.0,2,2.0,2.0,1
2.0,24,4.0,3.0,1743,1.0,5.0,4.0,3.0,1.0,2.0,2.0,48,3.0,3.0,2,2.0,2,1.0,2.0,1
3.0,12,1.0,3.0,409,4.0,3.0,3.0,2.0,1.0,3.0,1.0,42,3.0,1.0,0,3.0,2,1.0,2.0,1
4.0,12,2.0,3.0,2171,1.0,2.0,2.0,2.0,1.0,2.0,3.0,29,1.0,2.0,1,3.0,2,1.0,2.0,1
4.0,48,4.0,1.0,8858,5.0,4.0,2.0,3.0,1.0,1.0,4.0,35,3.0,3.0,2,3.0,2,2.0,2.0,1
2.0,24,2.0,0.0,3512,2.0,4.0,2.0,3.0,1.0,3.0,3.0,38,1.0,2.0,2,3.0,2,2.0,2.0,1
2.0,12,2.0,3.0,1158,3.0,3.0,3.0,1.0,1.0,1.0,3.0,26,3.0,2.0,1,3.0,2,2.0,2.0,1
4.0,24,4.0,3.0,2684,1.0,3.0,4.0,3.0,1.0,2.0,1.0,35,3.0,2.0,2,2.0,2,1.0,2.0,1
1.0,12,2.0,10.0,1498,1.0,3.0,4.0,2.0,1.0,1.0,3.0,33,1.0,2.0,1,3.0,2,1.0,2.0,1
4.0,30,4.0,3.0,5954,1.0,4.0,3.0,3.0,2.0,2.0,3.0,38,3.0,2.0,1,3.0,2,1.0,2.0,1
2.0,48,1.0,9.0,6416,1.0,5.0,4.0,2.0,1.0,3.0,4.0,59,3.0,1.0,1,3.0,2,1.0,2.0,0
2.0,12,4.0,2.0,3617,1.0,5.0,1.0,3.0,1.0,4.0,3.0,28,3.0,1.0,3,3.0,2,2.0,2.0,1
4.0,12,4.0,3.0,1291,1.0,3.0,4.0,2.0,1.0,2.0,2.0,35,3.0,2.0,2,3.0,2,1.0,2.0,1
3.0,24,4.0,9.0,1275,4.0,3.0,2.0,1.0,1.0,4.0,1.0,36,3.0,2.0,2,3.0,2,2.0,2.0,1
4.0,24,2.0,2.0,3972,1.0,4.0,2.0,2.0,1.0,4.0,2.0,25,3.0,1.0,1,3.0,2,2.0,2.0,1
4.0,15,4.0,2.0,3343,1.0,3.0,4.0,3.0,1.0,2.0,4.0,28,3.0,3.0,1,3.0,0,2.0,2.0,1
